"recinto_o_unidad_institucional","a_o_acad_mico","facultad_o_escuela","concentraci_n","especialidad","cip","nivel","nivel_especifico","total_de_estudiantes","total_de_estudiantes_femeninos","total_de_estudiantes_masculinos"
"Recinto de Mayagüez","2011-2012","Ingeniería","Departamento de Ingeniería Industrial","Ingeniería Industrial - MI","14.3501","Graduado","Maestría","2","1","1"
"Recinto de Mayagüez","2011-2012","Ingeniería","Departamento de Ingeniería Mecánica","Ingeniería Mecánica - BC","14.1901","Subgraduado","Bachillerato o Equivalente","122","31","91"
"Recinto de Mayagüez","2011-2012","Ingeniería","Departamento de Ingeniería Mecánica","Ingeniería Mecánica - MC","14.1901","Graduado","Maestría","14","4","10"
"Recinto de Mayagüez","2011-2012","Ingeniería","Departamento de Ingeniería Química","Ingeniería Química - BC","14.0701","Subgraduado","Bachillerato o Equivalente","115","68","47"
"Recinto de Mayagüez","2011-2012","Ingeniería","Departamento de Ingeniería Química","Ingeniería Química - MC","14.0701","Graduado","Maestría","6","3","3"
"Recinto de Mayagüez","2011-2012","Ingeniería","Departamento de Ingeniería Química","Ingeniería Química - PHD","14.0701","Graduado","Doctorado","7","4","3"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Administración de Empresas General - MAE","52.0101","Graduado","Maestría","1","1","0"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Administración de Oficinas BCAE","52.0401","Subgraduado","Bachillerato o Equivalente","25","20","5"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Contabilidad - BCAE","52.0301","Subgraduado","Bachillerato o Equivalente","71","43","28"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Estudios Organizacionales-Recursos Humanos - BCAE","52.1001","Subgraduado","Bachillerato o Equivalente","22","18","4"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Estudios Organizacionales-Recursos Humanos - MAE","52.1001","Graduado","Maestría","1","1","0"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Finanzas - BCAE","52.0801","Subgraduado","Bachillerato o Equivalente","20","5","15"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Finanzas - MAE","52.0801","Graduado","Maestría","3","1","2"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Gerencia Industrial - BCAE","52.0201","Subgraduado","Bachillerato o Equivalente","27","14","13"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Gerencia Industrial - MAE","52.0201","Graduado","Maestría","2","1","1"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Mercadeo - BCAE","52.1401","Subgraduado","Bachillerato o Equivalente","22","15","7"
"Recinto de Mayagüez","2012-2013","Administración de Empresas","Departamento de Administración de Empresas","Sistemas Computadorizados de Información - BCAE","11.0501","Subgraduado","Bachillerato o Equivalente","30","6","24"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Ciencias Políticas - BA","45.1001","Subgraduado","Bachillerato o Equivalente","36","16","20"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Ciencias Sociales BA","45.0101","Subgraduado","Bachillerato o Equivalente","52","40","12"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Historia - BA","54.0101","Subgraduado","Bachillerato o Equivalente","10","5","5"
"UPR en Aguadilla","2010-2011","Ciencias Naturales","Biomédica-Agu","N/A","26.0101","Subgraduado","Bachillerato","55","40","15"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Psicología - BA","42.0101","Subgraduado","Bachillerato o Equivalente","96","76","20"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Sociología - BA","45.1101","Subgraduado","Bachillerato o Equivalente","16","14","2"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Economía","Economía -BA","45.0601","Subgraduado","Bachillerato o Equivalente","12","3","9"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Educación Física","EDFI-Adiestramiento y Arbitraje - BA","51.0913","Subgraduado","Bachillerato o Equivalente","22","2","20"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Educación Física","EDFI-Enseñanza - BA","13.1314","Subgraduado","Bachillerato o Equivalente","17","4","13"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Educación Física","Kinesiología - MA","31.0505","Graduado","Maestría","2","1","1"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Estudios Hispánicos","Estudios Hispánicos - BA","16.0905","Subgraduado","Bachillerato o Equivalente","18","16","2"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Estudios Hispánicos","Estudios Hispánicos -MA","16.0905","Graduado","Maestría","2","2","0"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Humanidades","Artes Plásticas - BA","50.0702","Subgraduado","Bachillerato o Equivalente","15","10","5"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Humanidades","Filosofía BA","38.0101","Subgraduado","Bachillerato o Equivalente","4","2","2"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Humanidades","Lengua y Literatura Francesa - BA","16.0901","Subgraduado","Bachillerato o Equivalente","2","2","0"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Humanidades","Literatura Comparada - BA","16.0104","Subgraduado","Bachillerato o Equivalente","4","3","1"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Humanidades","Teoría del Arte - BA","50.0703","Subgraduado","Bachillerato o Equivalente","6","4","2"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Ingles","Educación en Inglés - MA","13.1305","Graduado","Maestría","9","7","2"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Artes","Departamento de Ingles","Inglés - BA","23.0101","Subgraduado","Bachillerato o Equivalente","20","14","6"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Biología","Biología - BC","26.0101","Subgraduado","Bachillerato o Equivalente","157","114","43"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Biología","Biología - MC","26.0101","Graduado","Maestría","16","10","6"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Biología","Microbiología Industrial - BC","26.0502","Subgraduado","Bachillerato o Equivalente","98","70","28"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Biología","Pre-Médica - BC","51.1102","Subgraduado","Bachillerato o Equivalente","10","4","6"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Biotecnología Industrial","Biotecnología Industrial - BC","26.1201","Subgraduado","Bachillerato o Equivalente","30","22","8"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Ciencias Marinas","Ciencias Marinas - MC","26.1302","Graduado","Maestría","2","0","2"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Ciencias Marinas","Ciencias Marinas - PHD","26.1302","Graduado","Doctorado","4","1","3"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Enfermería","Enfermería - BC","51.1601","Subgraduado","Bachillerato o Equivalente","80","58","22"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Física","Ciencias Físicas - BC","40.0101","Subgraduado","Bachillerato o Equivalente","5","2","3"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Física","Física General - MC","40.0801","Graduado","Maestría","9","3","6"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Física","Física Teórica - BC","40.0801","Subgraduado","Bachillerato o Equivalente","7","0","7"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Geología","Geología - BC","40.0601","Subgraduado","Bachillerato o Equivalente","10","4","6"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Geología","Geología - MC","40.0601","Graduado","Maestría","2","2","0"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Ciencias de Computación - BC","11.0701","Subgraduado","Bachillerato o Equivalente","6","2","4"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Educación Matemática - BC","13.1311","Subgraduado","Bachillerato o Equivalente","3","3","0"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Estadísticas - MC","27.0501","Graduado","Maestría","5","3","2"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemática Aplicada - MC","27.0301","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemática Pura - MC","27.0101","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemáticas - BC","27.0101","Subgraduado","Bachillerato o Equivalente","4","2","2"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Química","Programa Doctoral en Química Aplicada - PHD","40.0599","Graduado","Doctorado","13","7","6"
"UPR en Aguadilla","2010-2011","Ciencias Naturales","Evaluación de Sist. de Calidad-Agu","N/A","26.0101","Subgraduado","Bachillerato","2","2","0"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Química","Química - BC","40.0501","Subgraduado","Bachillerato o Equivalente","34","22","12"
"Recinto de Mayagüez","2012-2013","Artes y Ciencias - Ciencias","Departamento de Química","Química -MC","40.0501","Graduado","Maestría","5","3","2"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Ciencia y Tecnología de Alimentos","Ciencias y Tecnología de Alimentos - MC","1.1099","Graduado","Maestría","2","2","0"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Agronomía - BCA","1.1102","Subgraduado","Bachillerato o Equivalente","18","6","12"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Agronomía - MC","1.1102","Graduado","Maestría","6","2","4"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Ciencias del Suelo - BCA","1.1201","Subgraduado","Bachillerato o Equivalente","3","1","2"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Horticultura - BCA","1.1103","Subgraduado","Bachillerato o Equivalente","16","6","10"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Horticultura - MC","1.1103","Graduado","Maestría","7","4","3"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Protección de Cultivos - BCA","1.1105","Subgraduado","Bachillerato o Equivalente","4","3","1"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Protección de Cultivos - MC","1.1105","Graduado","Maestría","7","4","3"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Suelos - MC","1.1201","Graduado","Maestría","1","1","0"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Economía Agrícola","Agronegocios - BCA","1.0102","Subgraduado","Bachillerato o Equivalente","4","1","3"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Economía Agrícola","Economía Agrícola - MC","1.0103","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Educación Agrícola","Educación Agrícola - BCA","13.1301","Subgraduado","Bachillerato o Equivalente","10","5","5"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Educación Agrícola","Educación Agrícola - MC","13.1301","Graduado","Maestría","1","1","0"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Educación Agrícola","Extensión Agrícolas - BCA","1.0801","Subgraduado","Bachillerato o Equivalente","4","2","2"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Industrias Pecuarias","Industria Pecuaria - BCA","1.0901","Subgraduado","Bachillerato o Equivalente","45","35","10"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Industrias Pecuarias","Industria Pecuaria - MC","1.0901","Graduado","Maestría","4","2","2"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Ingeniería Agrícola","Tecnología Mecánico-Agrícola - BCA","1.0299","Subgraduado","Bachillerato o Equivalente","15","1","14"
"Recinto de Mayagüez","2012-2013","Ciencias Agrícolas","Departamento de Programas Generales en Ciencias Agrícolas","Agricultura General - BC","1","Subgraduado","Bachillerato o Equivalente","17","8","9"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería  Eléctrica y Computadoras","Ciencias e Ingeniería de Computadoras - PHD","11.0101","Graduado","Doctorado","4","2","2"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería  Eléctrica y Computadoras","Ingeniería Computadoras - BC","14.0901","Subgraduado","Bachillerato o Equivalente","50","7","43"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería  Eléctrica y Computadoras","Ingeniería Computadoras - MC","14.0901","Graduado","Maestría","5","1","4"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería  Eléctrica y Computadoras","Ingeniería Computadoras - MI","14.0901","Graduado","Maestría","4","0","4"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería  Eléctrica y Computadoras","Ingeniería Eléctrica - BC","14.1001","Subgraduado","Bachillerato o Equivalente","93","15","78"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería  Eléctrica y Computadoras","Ingeniería Eléctrica - MC","14.1001","Graduado","Maestría","7","1","6"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería  Eléctrica y Computadoras","Ingeniería Eléctrica - MI","14.1001","Graduado","Maestría","8","0","8"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Civil","Agrimensura y Topografía - BC","15.1102","Subgraduado","Bachillerato o Equivalente","30","2","28"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Civil","Ingeniería Civil - BC","14.0801","Subgraduado","Bachillerato o Equivalente","112","36","76"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Civil","Ingeniería Civil - MC","14.0801","Graduado","Maestría","14","7","7"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Civil","Ingeniería Civil - MI","14.0801","Graduado","Maestría","15","5","10"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Civil","Ingeniería Civil PHD","14.0801","Graduado","Doctorado","2","2","0"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Industrial","Ingeniería Industrial - BC","14.3501","Subgraduado","Bachillerato o Equivalente","67","39","28"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Industrial","Ingeniería Industrial - MC","14.3501","Graduado","Maestría","2","0","2"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Industrial","Ingeniería Industrial - MI","14.3501","Graduado","Maestría","2","1","1"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Mecánica","Ingeniería Mecánica - BC","14.1901","Subgraduado","Bachillerato o Equivalente","103","23","80"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Mecánica","Ingeniería Mecánica - MC","14.1901","Graduado","Maestría","18","3","15"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Mecánica","Ingeniería Mecánica - MI","14.1901","Graduado","Maestría","8","0","8"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Química","Ingeniería Química - BC","14.0701","Subgraduado","Bachillerato o Equivalente","116","68","48"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Química","Ingeniería Química - MC","14.0701","Graduado","Maestría","2","1","1"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Química","Ingeniería Química - MI","14.0701","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2012-2013","Ingeniería","Departamento de Ingeniería Química","Ingeniería Química - PHD","14.0701","Graduado","Doctorado","4","1","3"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Administración de Empresas General - MAE","52.0101","Graduado","Maestría","4","1","3"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Administración de Oficinas BCAE","52.0401","Subgraduado","Bachillerato o Equivalente","38","33","5"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Contabilidad - BCAE","52.0301","Subgraduado","Bachillerato o Equivalente","58","28","30"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Estudios Organizacionales-Recursos Humanos - BCAE","52.1001","Subgraduado","Bachillerato o Equivalente","15","13","2"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Estudios Organizacionales-Recursos Humanos - MAE","52.1001","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Finanzas - BCAE","52.0801","Subgraduado","Bachillerato o Equivalente","19","8","11"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Finanzas - MAE","52.0801","Graduado","Maestría","2","2","0"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Gerencia Industrial - BCAE","52.0201","Subgraduado","Bachillerato o Equivalente","15","5","10"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Gerencia Industrial - MAE","52.0201","Graduado","Maestría","2","0","2"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Mercadeo - BCAE","52.1401","Subgraduado","Bachillerato o Equivalente","22","10","12"
"Recinto de Mayagüez","2013-2014","Administración de Empresas","Departamento de Administración de Empresas","Sistemas Computadorizados de Información - BCAE","11.0501","Subgraduado","Bachillerato o Equivalente","19","4","15"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Ciencias Políticas - BA","45.1001","Subgraduado","Bachillerato o Equivalente","36","15","21"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Ciencias Sociales BA","45.0101","Subgraduado","Bachillerato o Equivalente","45","30","15"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Historia - BA","54.0101","Subgraduado","Bachillerato o Equivalente","14","8","6"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Psicología - BA","42.0101","Subgraduado","Bachillerato o Equivalente","97","87","10"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Sociología - BA","45.1101","Subgraduado","Bachillerato o Equivalente","11","8","3"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Economía","Economía -BA","45.0601","Subgraduado","Bachillerato o Equivalente","8","3","5"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Educación Física","EDFI-Adiestramiento y Arbitraje - BA","51.0913","Subgraduado","Bachillerato o Equivalente","18","5","13"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Educación Física","EDFI-Enseñanza - BA","13.1314","Subgraduado","Bachillerato o Equivalente","12","5","7"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Estudios Hispánicos","Estudios Hispánicos - BA","16.0905","Subgraduado","Bachillerato o Equivalente","15","11","4"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Estudios Hispánicos","Estudios Hispánicos -MA","16.0905","Graduado","Maestría","4","3","1"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Humanidades","Artes Plásticas - BA","50.0702","Subgraduado","Bachillerato o Equivalente","31","23","8"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Humanidades","Filosofía BA","38.0101","Subgraduado","Bachillerato o Equivalente","3","0","3"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Humanidades","Lengua y Literatura Francesa - BA","16.0901","Subgraduado","Bachillerato o Equivalente","1","1","0"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Humanidades","Literatura Comparada - BA","16.0104","Subgraduado","Bachillerato o Equivalente","6","3","3"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Humanidades","Teoría del Arte - BA","50.0703","Subgraduado","Bachillerato o Equivalente","7","7","0"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Ingles","Educación en Inglés - MA","13.1305","Graduado","Maestría","15","10","5"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Artes","Departamento de Ingles","Inglés - BA","23.0101","Subgraduado","Bachillerato o Equivalente","32","21","11"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Biología","Biología - BC","26.0101","Subgraduado","Bachillerato o Equivalente","193","120","73"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Biología","Biología - MC","26.0101","Graduado","Maestría","11","5","6"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Biología","Microbiología Industrial - BC","26.0502","Subgraduado","Bachillerato o Equivalente","104","71","33"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Biología","Pre-Médica - BC","51.1102","Subgraduado","Bachillerato o Equivalente","15","6","9"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Biotecnología Industrial","Biotecnología Industrial - BC","26.1201","Subgraduado","Bachillerato o Equivalente","17","11","6"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Ciencias Marinas","Ciencias Marinas - MC","26.1302","Graduado","Maestría","4","2","2"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Ciencias Marinas","Ciencias Marinas - PHD","26.1302","Graduado","Doctorado","3","0","3"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Enfermería","Enfermería - BC","51.1601","Subgraduado","Bachillerato o Equivalente","73","59","14"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Física","Ciencias Físicas - BC","40.0101","Subgraduado","Bachillerato o Equivalente","5","1","4"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Física","Física General - MC","40.0801","Graduado","Maestría","9","4","5"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Física","Física Teórica - BC","40.0801","Subgraduado","Bachillerato o Equivalente","4","0","4"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Geología","Geología - BC","40.0601","Subgraduado","Bachillerato o Equivalente","20","12","8"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Geología","Geología - MC","40.0601","Graduado","Maestría","1","1","0"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Ciencias de Computación - BC","11.0701","Subgraduado","Bachillerato o Equivalente","7","3","4"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Ciencias de Computación Científica - MC","11.0701","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Educación Matemática - BC","13.1311","Subgraduado","Bachillerato o Equivalente","5","2","3"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Estadísticas - MC","27.0501","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemática Aplicada - MC","27.0301","Graduado","Maestría","3","1","2"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemática Pura - MC","27.0101","Graduado","Maestría","2","0","2"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemáticas - BC","27.0101","Subgraduado","Bachillerato o Equivalente","2","0","2"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Química","Programa Doctoral en Química Aplicada - PHD","40.0599","Graduado","Doctorado","5","3","2"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Química","Química - BC","40.0501","Subgraduado","Bachillerato o Equivalente","36","26","10"
"Recinto de Mayagüez","2013-2014","Artes y Ciencias - Ciencias","Departamento de Química","Química -MC","40.0501","Graduado","Maestría","4","2","2"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Ciencia y Tecnología de Alimentos","Ciencias y Tecnología de Alimentos - MC","1.1099","Graduado","Maestría","10","6","4"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Agronomía - BCA","1.1102","Subgraduado","Bachillerato o Equivalente","15","1","14"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Agronomía - MC","1.1102","Graduado","Maestría","3","1","2"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Ciencias del Suelo - BCA","1.1201","Subgraduado","Bachillerato o Equivalente","4","1","3"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Horticultura - BCA","1.1103","Subgraduado","Bachillerato o Equivalente","15","4","11"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Protección de Cultivos - BCA","1.1105","Subgraduado","Bachillerato o Equivalente","6","5","1"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Protección de Cultivos - MC","1.1105","Graduado","Maestría","5","3","2"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Suelos - MC","1.1201","Graduado","Maestría","1","1","0"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Economía Agrícola","Agronegocios - BCA","1.0102","Subgraduado","Bachillerato o Equivalente","3","0","3"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Economía Agrícola","Economía Agrícola - BCA","1.0103","Subgraduado","Bachillerato o Equivalente","5","2","3"
"Recinto de Mayagüez","2013-2014","Ciencias Agrícolas","Departamento de Economía Agrícola","Economía Agrícola - MC","1.0103","Graduado","Maestría","1","0","1"
