NÚM. AEP,EDIFICIOS,MUNICIPIO,REGIÓN,DIRECCIÓN FÍSICA,Latitud,Longitud,Location
9400,DESTACAMENTO DE LA POLICÍA CASTAÑER,LARES,AGUADILLA,"CARR. #135, KM. 64.3, SECTOR CASTAÑER, BO. BARTOLO, LARES, P.R.",18.180125,-66.83301,"(18.180125, -66.83301)"
9031,DESTACAMENTO POLICÍA-SAN ANTONIO,AGUADILLA,AGUADILLA,"CARR. #107, INTERIOR, ESQ. CALLE LAS DELICIAS BO SAN ANTONIO, ARECIBO, P.R.",18.495116,-67.097797,"(18.495116, -67.097797)"
9702,DESTACAMENTO DE LA POLICÍA BO. ANGELES,UTUADO,ARECIBO,"CARR. #602, KM. 0.6, BO LOS ANGELES, UTUADO, P.R.",18.265483,-66.700487,"(18.265483, -66.700487)"
9703,DESTACAMENTO DE LA POLICÍA BO. MAMEYES,UTUADO,ARECIBO,"CARR. #140, KM.31.0, BO. MAMEYE, UTUADO, P.R.",18.294598,-66.62914,"(18.294598, -66.62914)"
9450,DESTACAMENTO DE LA POLICÍA-MONTE BELLO,MANATÍ,ARECIBO,"CARR. 3642, BO. MONTEBELLO, MANATÍ, P.R.",18.390407,-66.495663,"(18.390407, -66.495663)"
3111,CUARTEL DE LA POLICÍA BAYAMÓN SUR,BAYAMÓN,BAYAMÓN,"CARR. #831, KM. 2.2, BO. MINILLAS, BAYAMÓN, P.R.",18.362061,-66.15455,"(18.362061, -66.15455)"
9620,DESTACAMENTO POLICÍA-BO. ROSARÍO ,SAN GERMÁN,MAYAGUEZ,"BO. ROSARÍO, SAN GERMÁN, P.R.",,,
3450,CUARTEL DE LA POLICÍA,MANATÍ,ARECIBO,"CARR. # 2, KM. 48.6 MANATÍ, P.R.",18.4315659883,-66.4826089268,"(18.431566, -66.482609)"
9240,DESTACAMENTO DE LA POLICÍA,CULEBRA,HUMACAO,"BO. FULLADOSA, CARR. #998, CULEBRA, P.R.",18.3017610928,-65.2972984729,"(18.301761, -65.297298)"
3680,CUARTEL DE LA POLICÍA,TOA BAJA,BAYAMÓN,"BO. PUEBLO, CALLE LUIS MUÑOZ RIVERA, TOA BAJA, P.R.",18.4400551604,-66.2535216213,"(18.440055, -66.253522)"
3390,CUARTEL DE LA POLICÍA,LAJAS,MAYAGUEZ,"CALLE FERROCARRIL, LAJAS, P.R.",18.0497604296,-67.057842921,"(18.04976, -67.057843)"
3620,CUARTEL DE LA POLICÍA,SAN GERMÁN,MAYAGUEZ,"CARR. #2 BO. RETIRO, SAN GERMÁN, P.R.",18.0811016717,-67.0351229706,"(18.081102, -67.035123)"
3040,CUARTEL DE LA POLICÍA,AGUAS BUENAS,CAGUAS,"CALLE SARGENTO RAMON L. REYES ROSA, FINAL, AGUAS BUENAS, PR",18.257620082,-66.1069486399,"(18.25762, -66.106949)"
3110,COMANDANCIA DE LA POLICÍA,BAYAMÓN,BAYAMÓN,"EXPRESO RÍO HONDO, BO. JUAN SÁNCHEZ, BAYAMÓN, P.R.",18.4153666649,-66.1475682995,"(18.415367, -66.147568)"
3073,DEPOSITO DE VEHICULOS HURTADOS,ARECIBO    ,ARECIBO,"CARR. #22 SECTOR EL TANQUE BO. SAN FRANCISCO, ARECIBO, P.R.",18.4578127289,-66.7313253527,"(18.457813, -66.731325)"
3344,NUEVA COMANDANCIA DE HUMACAO,HUMACAO,HUMACAO,"CALLE TOMAS BOILE #50, AL LADO DE LA UPR DE HUMACAO, P.R.",18.1483300357,-65.8409323247,"(18.14833, -65.840932)"
3290,CUARTEL DE LA POLICÍA,GUAYANILLA,PONCE,"CALLE MUÑOZ RIVERA, GUAYANILA, P.R.",18.0159223292,-66.7892254632,"(18.015922, -66.789225)"
3884,CUARTEL POLICÍA DE HATO REY OESTE,SAN JUAN,CAROLINA,"INT. AVE. ELEONOR ROOSEVELT & CALLE BARIDA #215, SAN JUAN, P.R.",18.4200997513,-66.0615038942,"(18.4201, -66.061504)"
3281,DIVISIÓN VEHÍCULOS HURTADOS ,GUAYAMA,GUAYAMA,"CARR. #3 K,. 69, BO. VILLODAS, GUAYAMA, P.R.",17.9652043621,-66.1873393049,"(17.965204, -66.187339)"
3060,CUARTEL DE LA POLICÍA,AÑASCO,MAYAGUEZ,"CARR. #109, Km. 2.7 AÑASCO, P.R.",18.2808947615,-67.1441009977,"(18.280895, -67.144101)"
3520,CUARTEL DE LA POLICÍA,NARANJITO,BAYAMÓN,"BO. ACHIOTE, NARANJITO, P.R.",18.302032393,-66.2507351506,"(18.302032, -66.250735)"
3633,ESTACIÓN POLICÍA CALLE LOÍZA,SAN JUAN,CAROLINA,"CALLE LOÍZA, SAN JUAN, P.R.",18.4495601525,-66.0392225142,"(18.44956, -66.039223)"
3440,CUARTEL DE LA POLICÍA,LUQUILLO,CAROLINA,"CALLE 14 DE JULIO, LUQUILLO, P.R.",18.375538976,-65.7167394281,"(18.375539, -65.716739)"
3120,CUARTEL DE LA POLICÍA,CABO ROJO,MAYAGUEZ,"CARR. #308, KM. 3.6, SECTOR PUERTO REAL CABO ROJO, P.R.",18.0898660732,-67.1460922631,"(18.089866, -67.146092)"
3634,ESTACIÓN POLICÍA SAN JUAN-SANTURCE,SAN JUAN,CAROLINA,"AVENIDA MUÑOZ RIVERA, ESQUINA CALLE CERRA, SAN JUAN, P.R.",18.4484441043,-66.081716022,"(18.448444, -66.081716)"
3140,CUARTEL DE LA POLICÍA,CAMUY,AGUADILLA,"CARR. #485, KM. 0.2, CAMUY, P.R.",18.4868652461,-66.847779,"(18.486865, -66.847779)"
3632,ESTACIÓN POLICÍA PUERTO NUEVO,SAN JUAN,CAROLINA,"AVENIDA SAN PATRICIO, INTERSECCIÓN CALLE #30 URB. VILLA LAS LOMAS, SAN JUAN, P.R.",18.3950011663,-66.0919701796,"(18.395001, -66.09197)"
3564,ESTACIÓN POLICÍA EL TUQUE,PONCE,PONCE,"OESTE CALLE #29, ENTRANDO POR LA URB. INDUSTRIAL PUNTO ORO, PONCE, P.R.",17.9908824541,-66.6467068278,"(17.990882, -66.646707)"
3410,CUARTEL DE LA POLICÍA,LAS MARÍAS,MAYAGUEZ,"CARR. #120, KM. 0.1, LAS MARÍAS, P.R.",18.2508830833,-66.9888620758,"(18.250883, -66.988862)"
3150,COMANDANCIA DE LA POLICÍA,CAROLINA,CAROLINA,"AVE. 65 DE INFANTERÍA, CAROLINA, P.R.",18.3798266958,-65.960941331,"(18.379827, -65.960941)"
3130,COMANDANCIA DE LA POLICÍA,CAGUAS,ADMINISTRADOR,"AVE. RAFAEL CORDERO #98, INT. JOSÉ VILLARES",18.2363666628,-66.0293501021,"(18.236367, -66.02935)"
3341,VEHÍCULOS HURTADOS Y DIV. DE TRÁNSITO,HUMACAO,HUMACAO,"CALLE TOMAS BOILE #50, AL LADO DE LA UPR DE HUMACAO, P.R.",18.1478181756,-65.8411328393,"(18.147818, -65.841133)"
3030,COMANDANCIA DE LA POLICÍA,AGUADILLA,AGUADILLA,"AVENIDA VICTORIA, AGUADILLA, P.R.",18.4144489449,-67.1532321842,"(18.414449, -67.153232)"
3500,CUARTEL DE LA POLICÍA,MOROVIS,ARECIBO,"CARR. #155, KM. 48.2 MOROVIS, P.R.",18.3295764078,-66.4062810012,"(18.329576, -66.406281)"
3070,COMANDANCIA DE LA POLICÍA,ARECIBO    ,ARECIBO,"AVENIDA DE HOSTOS, ARECIBO, P.R.",18.470279425,-66.7257353133,"(18.470279, -66.725735)"
3670,CUARTEL DE LA POLICÍA,TOA ALTA,BAYAMÓN,"BO. CONTORNO, NARANJITO, P.R.",18.3860260011,-66.2526550177,"(18.386026, -66.252655)"
3484,COMANDANCIA DE LA POLICÍA,MAYAGUEZ,MAYAGUEZ,"AVE. CORAZONES, ESQUINA P.R. #2, BO. SABALOS, MAYAGUEZ, P.R.",18.1741992341,-67.1462499264,"(18.174199, -67.14625)"
3690,CUARTEL DE LA POLICÍA,TRUJILLO ALTO,CAROLINA,"CARR. 181, CALLE MUÑOZ RIVERA #2, TRUJILLO ALTO, P.R.",18.3565266029,-66.0051290564,"(18.356527, -66.005129)"
3180,CUARTEL DE LA POLICÍA,CEIBA,HUMACAO,"AVE. LAURO PIÑEIRO, ESQ. CARLOS FIGUEROA, CEIBA, P.R.",18.2610815141,-65.6478232558,"(18.261082, -65.647823)"
3561,ESTACIÓN POLICÍA SECTOR CLAUSEL,PONCE,PONCE,"CALLE VILLA, ESQ. CALLE CENTRAL, BO. CLAUSELL, PONCE, P.R.",18.0102267743,-66.6293564053,"(18.010227, -66.629356)"
3580,CUARTEL DE LA POLICÍA,RINCÓN,AGUADILLA,"CALLE NUEVA, RINCÓN, P.R. ",18.3379574844,-67.2502601201,"(18.337957, -67.25026)"
3250,CUARTEL DE LA POLICÍA,DORADO,BAYAMÓN,"CARR. #693, KM. 7.1, DORADO, P.R.",18.4616455226,-66.270579812,"(18.461646, -66.27058)"
